,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
1,4000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
2,5000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
3,6000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
4,7000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
5,8000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
6,9000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
7,10000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
8,11000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
9,12000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
10,13000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
11,14000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
12,15000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
13,16000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
14,17000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
15,17500,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
16,18000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
17,18500,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
18,19000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
19,19500,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
20,20000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
21,20500,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
22,21000,1761.0248,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
23,21500,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
24,22000,1772.7649,1925.3871,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
25,22500,1408.8198,1573.1821,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
26,23000,1068.355,1267.9378,469.6066,669.1894,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
27,23500,786.5911,1009.6542,692.6697,903.9927,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
28,24000,598.7484,821.8116,986.1739,1209.237,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
29,24500,457.8664,657.4492,1338.3788,1526.2215,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
30,25000,328.7246,516.5673,1725.8043,1913.6469,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
31,25500,,,2136.71,2301.0723,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
32,26000,,,2582.8363,2723.7183,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
33,26500,,,3028.9626,3158.1044,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
34,28000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
35,32000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
36,36000,,,,,2020-12-25 08:00:00,2020-12-20 12:21:06,0,0,23480.33
