,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
1,20500,2955.0541,3173.5211,275.9584,459.9306,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
2,21000,2587.1096,2759.5836,321.9514,540.4185,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
3,21500,2230.6634,2426.1339,528.9202,735.889,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
4,22000,1851.2207,2138.6773,643.9028,862.3699,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
5,22500,1552.2658,1874.2172,977.3525,1230.3144,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
6,23000,1287.8057,1586.7606,1138.3282,1368.2935,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
7,23500,1149.8265,1414.2866,1483.2762,1724.7398,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
8,24000,931.3595,1253.3109,1713.2415,2023.6946,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
9,24500,816.3768,1149.8265,2196.1686,2391.6391,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
10,25000,678.3976,965.8543,2437.6322,2736.5871,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
11,25500,574.9132,862.3699,2955.0541,3150.5246,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
12,26000,482.9271,643.9028,3265.5073,3472.476,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
13,26500,402.4393,678.3976,3679.4448,3909.4101,2021-01-1 08:00:00,2020-12-19 09:58:10,0,0,22996.53
