,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
1,20500,2931.072,3160.96,287.36,471.2704,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
2,21000,2574.7456,2747.1616,333.3376,551.7312,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
3,21500,2218.4192,2425.3184,540.2368,747.136,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
4,22000,1839.104,2137.9584,655.1808,885.0688,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
5,22500,1540.2496,1862.0928,988.5184,1252.8896,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
6,23000,1287.3728,1586.2272,1160.9344,1390.8224,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
7,23500,1137.9456,1402.3168,1505.7664,1747.1488,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
8,24000,931.0464,1252.8896,1735.6544,2046.0032,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
9,24500,816.1024,1149.44,2218.4192,2413.824,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
10,25000,678.1696,977.024,2459.8016,2758.656,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
11,25500,574.72,862.08,2977.0496,3172.4544,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
12,26000,494.2592,655.1808,3287.3984,3494.2976,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
13,26500,402.304,678.1696,3701.1968,3942.5792,2021-01-1 08:00:00,2020-12-19 05:58:10,0,0,22988.8
