,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,3735.29,3876.2444,,,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
1,20500,,,,,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
2,21000,2842.5792,3030.5183,199.6853,493.3402,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
3,21500,2396.2238,2642.8939,,,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
4,22000,2008.5993,2255.2694,,,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
5,22500,1667.9597,1938.1222,563.8174,798.7413,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
6,23000,1350.8124,1632.7211,716.5179,1010.1728,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
7,23500,1092.3961,1397.7972,1010.1728,1245.0967,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
8,24000,857.4722,1162.8733,1256.8429,1527.0054,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
9,24500,716.5179,974.9342,1585.7363,1844.1526,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
10,25000,563.8174,974.9342,1961.6146,2196.5385,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
11,25500,458.1016,681.2793,2325.7466,2595.9091,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
12,26000,340.6397,587.3098,2760.3558,3007.0259,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
13,26500,,,3206.7112,3418.1427,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
14,27000,,,3664.8128,3852.752,2021-01-1 08:00:00,2020-12-22 14:28:14,0,0,23492.39
