,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,20680.3599,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
1,4000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
2,5000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
3,6000,17701.1825,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
4,7000,16704.2593,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
5,8000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
6,9000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
7,10000,13725.0819,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
8,11000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
9,12000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
10,13000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
11,14000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
12,15000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
13,16000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
14,17000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
15,17500,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
16,18000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
17,18500,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
18,19000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
19,19500,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
20,20000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
21,20500,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
22,21000,2503.9001,2654.5978,162.2898,289.8033,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
23,21500,2086.5834,2190.9126,336.1718,417.3167,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
24,22000,1704.0431,1854.7408,405.7246,625.975,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
25,22500,1402.6477,1634.4903,556.4222,765.0806,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
26,23000,1112.8445,1333.095,741.8963,973.7389,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
27,23500,962.1468,1147.6209,1136.0287,1251.95,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
28,24000,741.8963,915.7783,1425.832,1576.5297,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
29,24500,568.0144,811.4491,1657.6746,1877.9251,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
30,25000,510.0537,649.1593,2098.1755,2283.6496,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
31,25500,452.0931,602.7908,2596.6371,2724.1506,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
32,26000,301.3954,486.8695,3013.9538,3211.02,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
33,26500,312.9875,382.5403,3384.902,3570.376,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
34,28000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
35,32000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
36,36000,,,,,2020-12-25 08:00:00,2020-12-18 08:28:41,0,0,23184.26
